state,year,constituency,ac_no,district,sub_region,reservations,candidate_name,party,party_eci,url,winner,gender,age,so_do,address,profession,spouse_profession,criminal_cases,serious_criminal_cases,education,assets,liabilities,net_assets,filed_itr,declared_pan,recontest_url,recontest_assets_this,recontest_assets_last,recontest_assets_change,recontest_remarks
Uttar Pradesh,2022,HUSAINGANJ,,FATEHPUR,,,Mohammad Haris,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2854,false,Male,29,Shakil Ahmad,,Business,Not Applicable ,0,false,Graduate,4307059,2529888,1777171,true,true,,,,,
Uttar Pradesh,2022,KANPUR CANTT.,,KANPUR NAGAR,,,Mohammad Hasan,SP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2232,false,Male,56,Late Saiyad Mohammad Irfan,,Advocate Income,"House wife, Rental Income",0,false,Post Graduate,21819310,950000,20869310,true,true,,,,,
Uttar Pradesh,2022,SAMBHAL,,SAMBHAL,,,Mohammad Mushir Khan Tarin,All India Majlis-E-Ittehadul Muslimeen,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1345,false,Male,53,Mohammad Taufeeq Khan,,Business,Teacher &amp; House Wife ,3,true,Post Graduate,87584937,0,87584937,true,true,,,,,
Uttar Pradesh,2022,KANPUR CANTT.,,KANPUR NAGAR,,,Mohammad Shafi,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2231,false,Male,43,Mohammad Shami Khan,,Service,NA,5,true,8th Pass,1406969,0,1406969,true,true,,,,,
Uttar Pradesh,2022,BULANDSHAHR,,BULANDSAHAR,,,Mohammad Yunus,RLD,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=38,false,Male,51,Abdul Rashid,,Business &amp; Salary ,Business &amp; Salary ,6,true,Literate,50779584,0,50779584,true,true,,,,,
Uttar Pradesh,2022,LUCKNOW CENTRAL,,LUCKNOW,,,Mohammad Zafar Qureshi,IND,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2552,false,Male,32,Mohd. Atik,,Property Dealer ,NA,0,false,10th Pass,4310368,334000,3976368,true,true,,,,,
Uttar Pradesh,2022,BARHAPUR,,BIJNOR,,,Mohammed Ghazi,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=895,false,Male,46,Mohammad Khursheed,,Agriculture &amp; Business ,House Wife &amp; Business,3,true,8th Pass,82242080,54049832,28192248,true,true,,,,,
Uttar Pradesh,2022,MUZAFFAR NAGAR,,MUZAFFARNAGAR,,,Mohammed Intezar,All India Majlis-E-Ittehadul Muslimeen,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=351,false,Male,36,Naseer Ahmad,,Business,Housewife,1,true,8th Pass,5244182,0,5244182,true,true,,,,,
Uttar Pradesh,2022,AMROHA,,AMROHA,,,Mohammed Naved Ayaz,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=1041,false,Male,36,Moh. Ayaz,,Fathers Agriculture Land,Not Applicable ,2,false,Graduate,3149378,0,3149378,true,true,,,,,
Uttar Pradesh,2022,LAKHIMPUR,,KHERI,,,Mohan Bajpai,BSP,,http://myneta.info/Uttarpradesh2022/candidate.php?candidate_id=2787,false,Male,44,Late Ram Kumar Bajpai,,Transportation Business,Transportation Business,4,true,10th Pass,77738926,14271789,63467137,true,true,,,,,
